                    x                count                  avg                sigma                  min                  max
        230.000000000         30.000000000         26.398167000         15.131161000        -27.518999000         40.187000000
        232.000000000        179.000000000         28.282413000         15.690647000        -27.864000000         48.136002000
        418.000000000         32.000000000         30.628719000         16.169989000        -26.738001000         53.166000000
        419.000000000        130.000000000         27.676261000         17.527537000        -34.476002000         44.615002000
        420.000000000        141.000000000         29.163730000         13.887001000        -26.006001000         44.833000000
        421.000000000         38.000000000         20.540131000         20.756000000        -31.375000000         41.153999000
        561.000000000         82.000000000         30.886597000         12.625354000        -27.038000000         46.676998000
        562.000000000        174.000000000         29.456960000         14.165331000        -31.426001000         46.735001000
        563.000000000        128.000000000         32.176891000         11.248354000        -26.188000000         50.438999000
        564.000000000         12.000000000         27.687083000         18.345311000        -26.702999000         44.367001000
        748.000000000        141.000000000         31.716454000         13.643010000        -25.646000000         47.074001000
        750.000000000         30.000000000         36.499433000          4.896252000         26.795000000         45.550999000
        891.000000000         55.000000000         40.402691000          6.154751000         27.497999000         57.101002000
        892.000000000        160.000000000         40.423456000          9.327952000        -13.663000000         71.850998000
        893.000000000        141.000000000         44.096525000          7.203364000         26.535999000         65.811996000
        894.000000000         16.000000000         44.549375000         11.279971000         18.542000000         64.565002000
       1082.000000000         18.000000000         36.513667000          7.087270000         21.778000000         45.618000000
       1083.000000000        118.000000000         39.145780000          5.666980000         25.990000000         53.220001000
       1084.000000000        143.000000000         38.962371000          5.467643000         10.309000000         51.000000000
       1085.000000000         31.000000000         38.540096000         12.004694000        -23.613001000         46.387001000
       1230.000000000          2.000000000         72.920502000          7.356032000         67.719002000         78.122002000
       1231.000000000         54.000000000         56.002148000         10.555286000         39.028000000         76.815002000
       1232.000000000        119.000000000         53.164050000         12.592615000         18.379999000         80.511002000
       1233.000000000        139.000000000         51.861482000         11.853783000         32.923000000         81.333000000
       1234.000000000        101.000000000         49.276990000         11.228862000         25.004000000         77.334999000
       1235.000000000         10.000000000         42.325700000          6.057698000         29.346001000         52.648998000
       1429.000000000         24.000000000         35.697417000          5.070068000         18.635000000         43.909000000
       1430.000000000        104.000000000         39.321336000          5.169471000         23.594999000         52.481998000
       1431.000000000        118.000000000         35.954195000         10.024022000        -19.399000000         54.859001000
       1432.000000000         70.000000000         42.597429000          6.905945000         20.208000000         60.709000000
       1579.000000000         41.000000000         55.456390000          7.542186000         44.314999000         76.150002000
       1580.000000000        111.000000000         52.924459000         10.333700000         30.583000000         79.007004000
       1581.000000000        130.000000000         50.686446000         10.165677000         30.568001000         74.684998000
       1582.000000000        102.000000000         50.304588000          9.619689000         34.719002000         74.471001000
       1583.000000000         14.000000000         49.256428000          4.390111000         44.785000000         59.245998000
       1776.000000000         59.000000000         38.149814000          5.810807000         24.965000000         53.812000000
       1777.000000000        105.000000000         43.266838000          5.979476000         27.528000000         60.236000000
       1778.000000000        109.000000000         36.936138000         10.037667000        -20.910999000         55.113998000
       1779.000000000         75.000000000         45.728307000          5.162082000         32.411999000         56.618999000
