                    x                count                  avg                sigma                  min                  max
        165.000000000         56.000000000         27.971054000         13.387989000        -22.054001000         39.617001000
        167.000000000         11.000000000         21.081727000         23.340701000        -30.785000000         37.042999000
        317.000000000         46.000000000         25.276544000         22.901290000        -34.845001000         47.022999000
        318.000000000        185.000000000         22.930043000         19.667289000        -38.243000000         45.347000000
        319.000000000         72.000000000         28.423500000         13.585394000        -25.497000000         48.301998000
        495.000000000         30.000000000         46.532767000          3.653760000         36.084999000         54.884998000
        496.000000000        152.000000000         40.730395000          5.236346000         20.636999000         51.426998000
        497.000000000         31.000000000         39.791258000          5.233413000         32.849998000         53.240002000
        646.000000000          9.000000000         28.842333000         19.269778000        -19.520000000         41.175999000
        648.000000000        125.000000000         29.623840000         13.193038000        -28.646000000         43.089001000
        825.000000000         49.000000000         51.799510000          3.388525000         41.992001000         58.182999000
        826.000000000        157.000000000         49.407497000          5.172571000         36.133999000         60.384998000
        827.000000000         11.000000000         48.123363000          3.908014000         41.589001000         52.626999000
        977.000000000         67.000000000         25.517508000         15.039913000        -19.009001000         43.166000000
       1163.000000000         54.000000000         60.256037000          5.157471000         50.217999000         70.474998000
       1164.000000000        120.000000000         55.871058000          5.757394000         44.576000000         71.981003000
       1165.000000000         60.000000000         54.176967000          4.401597000         42.587002000         64.419998000
       1511.000000000         72.000000000         59.797569000          4.534344000         49.910000000         74.453003000
       1512.000000000        116.000000000         58.175431000          5.634043000         42.750000000         76.238998000
       1513.000000000         50.000000000         55.558040000          3.608454000         46.557999000         63.278000000
       1666.000000000         23.000000000         44.354870000          5.283426000         30.908001000         52.543999000
       1667.000000000        112.000000000         39.941446000          4.919707000         26.011000000         50.884998000
       1668.000000000        140.000000000         40.875400000          5.000174000         13.302000000         49.972000000
       1669.000000000         78.000000000         38.487397000          6.418194000         20.804001000         49.395000000
       1859.000000000         48.000000000         55.938292000          4.821759000         46.653999000         66.726997000
       1860.000000000        118.000000000         55.837559000          5.557855000         44.860001000         73.814003000
       1861.000000000         70.000000000         53.443100000          4.554877000         43.306000000         63.504002000
       2013.000000000         61.000000000         43.646705000          4.718109000         31.879999000         55.283001000
       2014.000000000        139.000000000         39.113921000          5.467242000         24.156000000         50.326000000
       2015.000000000        139.000000000         38.555180000          5.289460000         21.080999000         49.463001000
       2016.000000000         46.000000000         37.076913000          6.127608000         22.101999000         46.930000000
       2207.000000000          4.000000000         48.020749000          7.363086000         40.637001000         58.113998000
       2208.000000000        113.000000000         40.196142000          8.795000000        -22.194000000         52.306999000
       2209.000000000        112.000000000         43.907946000          4.850456000         32.344002000         53.917000000
       2210.000000000          6.000000000         45.478500000          2.921803000         43.722000000         50.674999000
       2359.000000000          6.000000000         33.432500000          5.954017000         25.804001000         41.448002000
       2360.000000000         92.000000000         33.533467000         10.198625000        -20.410999000         51.403999000
       2361.000000000        146.000000000         29.132808000         12.373599000        -25.332001000         42.963001000
       2362.000000000        120.000000000         31.763800000          9.995312000        -24.266001000         47.174000000
       2363.000000000         24.000000000         25.773917000         12.491045000        -23.788000000         41.479000000
       2556.000000000         96.000000000         28.678333000         16.039504000        -31.379000000         51.237000000
       2557.000000000        113.000000000         34.590451000          7.536062000        -13.327000000         46.592999000
       2558.000000000         26.000000000         33.435577000          5.352003000         17.726999000         42.391998000
       2707.000000000         89.000000000         39.104764000          7.840186000        -24.136000000         49.695000000
       2708.000000000        144.000000000         41.990229000          5.568802000         27.018000000         56.629002000
       2709.000000000        124.000000000         35.759258000          9.565468000        -17.045000000         51.702999000
       2710.000000000         31.000000000         37.932645000          6.528304000         18.370001000         47.577999000
       3054.000000000         48.000000000         35.871584000          4.768986000         20.889000000         45.744999000
       3055.000000000        138.000000000         39.829406000          5.123849000         22.871000000         52.428001000
       3056.000000000        143.000000000         31.345196000         11.785466000        -26.079000000         43.640999000
       3057.000000000         66.000000000         36.908788000          5.505225000         25.743000000         51.146000000
       3252.000000000         63.000000000         26.971746000         16.052225000        -42.654999000         43.887001000
       3253.000000000        115.000000000         25.194104000         16.169910000        -27.128000000         43.321999000
       3254.000000000         69.000000000         29.778087000         12.646066000        -29.004000000         46.289001000
       3401.000000000         58.000000000         30.879190000         11.363546000        -23.931999000         44.835999000
       3402.000000000        147.000000000         33.869129000          8.664783000        -24.440001000         50.666000000
       3403.000000000        133.000000000         26.288414000         17.381334000        -31.153999000         44.688000000
       3404.000000000         43.000000000         28.565884000         15.280477000        -32.833000000         46.896000000
       3600.000000000         35.000000000         23.456857000         20.125752000        -31.802000000         42.113998000
       3601.000000000        115.000000000         20.105756000         19.990792000        -30.820000000         41.994999000
       3602.000000000         95.000000000         18.206684000         22.847884000        -31.570000000         48.379002000
       3748.000000000         79.000000000          6.209418000         25.563966000        -42.353001000         38.639000000
       3749.000000000        145.000000000         27.347221000         14.395582000        -26.687000000         44.577999000
       3751.000000000         10.000000000         36.330000000          7.936688000         20.388000000         46.078999000
       3948.000000000          5.000000000         13.949001000         27.474143000        -34.841999000         29.009001000
       3949.000000000        113.000000000         26.042381000         13.797024000        -26.171000000         46.526001000
       3950.000000000        112.000000000         13.202161000         23.247865000        -32.363998000         40.509998000
       3951.000000000         25.000000000         20.942240000         20.990406000        -28.304001000         39.056999000
       4095.000000000         79.000000000         21.577456000         19.685638000        -33.158001000         38.582001000
       4096.000000000        146.000000000         13.516699000         22.486837000        -30.792999000         42.294998000
       4097.000000000         77.000000000         34.521195000          8.192499000        -22.174000000         48.638000000
       4297.000000000         71.000000000         26.915183000         16.101518000        -29.180000000         45.555000000
       4298.000000000        110.000000000         24.309664000         17.000603000        -34.112999000         42.333000000
       4299.000000000         75.000000000         22.817254000         19.765946000        -27.080000000         45.212002000
       4442.000000000         87.000000000         10.852816000         24.612880000        -34.412998000         38.625999000
       4443.000000000        145.000000000         29.236345000         10.019299000        -23.296000000         43.574001000
       4444.000000000         48.000000000         12.389458000         22.435042000        -34.060001000         36.140999000
       4645.000000000         22.000000000         25.821045000         15.144680000        -20.555000000         38.633999000
       4646.000000000        111.000000000         27.794108000         12.513299000        -20.150999000         46.986000000
       4647.000000000        113.000000000         30.391814000         11.817415000        -27.337999000         42.813999000
       4648.000000000         25.000000000         29.661040000          5.551250000         18.497000000         39.188999000
       4789.000000000         72.000000000         18.052528000         22.344569000        -41.409000000         41.164001000
       4791.000000000         44.000000000         25.574273000         15.899607000        -23.805000000         42.896000000
       4994.000000000         99.000000000         36.968071000          5.353823000         22.481001000         47.570999000
       4995.000000000        110.000000000         35.029673000          5.843904000         12.799000000         47.553001000
       4996.000000000         59.000000000         32.804136000         12.092419000        -26.903000000         45.361000000
       5136.000000000         44.000000000         19.907182000         24.958317000        -34.557999000         48.756001000
       5342.000000000         59.000000000         50.317949000          3.961821000         34.851002000         58.452999000
       5343.000000000        111.000000000         46.165415000          5.079676000         32.467999000         59.356998000
       5344.000000000        100.000000000         45.963200000          5.552644000         33.953999000         56.960999000
       5345.000000000          6.000000000         44.918500000          4.789694000         38.508999000         50.229000000
       5484.000000000        149.000000000         29.215463000         12.183963000        -24.659000000         43.485001000
       5690.000000000         14.000000000         55.405500000          2.535937000         50.256001000         58.488998000
       5691.000000000         75.000000000         49.901840000          4.534124000         38.431000000         59.869999000
       5692.000000000        116.000000000         52.509940000          4.912422000         39.230000000         63.154999000
       5693.000000000          5.000000000         51.318800000          3.515915000         48.214001000         56.952999000
       5830.000000000         19.000000000         36.421842000          5.098472000         26.461000000         45.056999000
       5831.000000000        146.000000000         38.805527000          6.840287000        -15.197000000         49.096001000
       5832.000000000         70.000000000         31.321857000         11.769170000        -28.101000000         51.396000000
       6039.000000000         77.000000000         57.864052000          4.919233000         46.106998000         70.012001000
       6040.000000000        112.000000000         56.575634000          6.569169000         43.070999000         80.592003000
       6041.000000000         89.000000000         57.834427000          4.704958000         49.085999000         75.778000000
       6042.000000000          4.000000000         57.075751000          1.840944000         55.233002000         59.629002000
       6177.000000000         22.000000000         44.947363000          3.502013000         36.676998000         49.598999000
       6178.000000000        150.000000000         37.162333000          6.856027000        -10.386000000         48.296001000
       6179.000000000         55.000000000         42.065637000          5.575425000         26.176001000         52.165001000
       6387.000000000          9.000000000         59.980445000          5.419692000         53.693001000         71.388000000
       6388.000000000        101.000000000         53.428921000          5.182126000         43.216000000         65.995003000
       6389.000000000        113.000000000         54.227912000          6.093296000         41.438000000         73.105003000
       6390.000000000         72.000000000         53.753236000          4.181879000         44.401001000         65.374001000
       6524.000000000         53.000000000         42.796226000          4.301584000         31.940001000         50.736000000
       6525.000000000        143.000000000         38.762147000          5.570328000         22.549000000         51.280998000
       6526.000000000         26.000000000         36.275538000         12.237021000        -16.334000000         48.903999000
       6736.000000000         50.000000000         41.571460000          5.080831000         26.208000000         50.312000000
       6737.000000000        110.000000000         43.095964000          5.535863000         31.163000000         61.132999000
       6738.000000000        116.000000000         44.769276000          5.964739000         32.386002000         64.087997000
